studentid,academic_year,att_pct,n_demerits,course_number,term,grade_pct,failed_course
1072,2014,94,35,ENG30,Q2,84,
1072,2014,94,35,HIST40,Q2,79,
1072,2014,81,28,HIST40,Q1,65,
1075,2014,80,17,MATH42,Q2,100,
1075,2014,90,10,MATH42,Q1,100,
1075,2014,90,10,SCI31,Q1,84,
1075,2014,80,17,SCI31,Q2,89,
1076,2014,100,8,SCI41,Q1,78,
1076,2014,100,7,SCI41,Q2,77,
1083,2014,84,10,GYM33,Q2,88,
1083,2014,90,9,GYM33,Q1,89,
1085,2014,100,14,ENG40,Q2,76,
1085,2014,100,12,ENG40,Q1,80,
1090,2014,88,41,ENG05,Q1,50,
1090,2014,98,44,ENG05,Q2,80,
1094,2014,86,20,HIST41,Q1,92,
1094,2014,90,32,HIST41,Q2,83,
1098,2014,98,4,SCI41,Q1,81,
1098,2014,94,11,SCI41,Q2,80,
1105,2014,98,12,ART20,Q1,87,
1105,2014,98,17,ART20,Q2,96,
1105,2014,98,17,ENG40,Q2,81,
1105,2014,98,12,ENG40,Q1,80,
1117,2014,83,37,WRI71,Q1,80,
1117,2014,82,41,WRI71,Q2,93,
1120,2014,95,42,ENG05,Q1,100,
1120,2014,88,34,ENG05,Q2,100,
1126,2014,95,19,HIST40,Q1,87,
1126,2014,96,25,HIST40,Q2,84,
1127,2014,93,19,MATH40,Q1,70,
1127,2014,96,22,MATH40,Q2,65,
1127,2014,96,22,SCI36,Q2,83,
1127,2014,93,19,SCI36,Q1,80,
1134,2014,98,9,ENG30,Q1,92,
1134,2014,92,36,ENG30,Q2,76,
1138,2014,92,19,HIST40,Q2,79,
1138,2014,98,18,HIST40,Q1,71,
1140,2014,95,4,RHET30,Q1,56,
1140,2014,94,5,RHET30,Q2,51,
1142,2014,95,40,SPAN30,Q1,82,
1142,2014,92,62,SPAN30,Q2,74,
1156,2014,86,21,SCI20,Q1,74,
1156,2014,94,25,SCI20,Q2,70,
1158,2014,100,5,ENG05,Q1,90,
1158,2014,94,2,ENG05,Q2,100,
525,2014,80,65,HIST40,Q2,79,
525,2014,86,41,HIST40,Q1,67,
532,2014,81,40,ENG40,Q1,50,
532,2014,70,46,ENG40,Q2,50,
621,2014,95,33,HIST30,Q1,77,
621,2014,72,27,HIST30,Q2,78,
1047,2014,83,33,GYM20,Q1,84,
